74,Air Transport Services Group Inc,ATSG,8.95,$581.21M,581210000,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
75,AirMedia Group Inc,AMCN,2.19,$130.45M,130450000,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
76,Aixtron SE,AIXG,8.13,$906.84M,906840000,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
77,Akamai Technologies Inc.,AKAM,71.62,$12.75B,12750000000,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
78,Akebia Therapeutics Inc.,AKBA,10.14,$206.26M,206260000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
79,Akers Biosciences Inc,AKER,3.7365,$18.51M,18510000,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
80,Akorn Inc.,AKRX,48.02,$5.18B,5180000000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
81,Alaska Communications Systems Group Inc.,ALSK,1.71,$84.71M,84710000,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
82,Albany Molecular Research Inc.,AMRI,16.27,$530.51M,530510000,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
83,Alcentra Capital Corp.,ABDC,13.59,$183.69M,183690000,2014,n/a,n/a,http://www.nasdaq.com/symbol/abdc
84,Alcobra Ltd.,ADHD,7.43,$157.35M,157350000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
85,Alder BioPharmaceuticals Inc.,ALDR,27.41,$1.03B,1030000000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
86,Aldeyra Therapeutics Inc.,ALDX,10.5,$58.44M,58440000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
87,Alexion Pharmaceuticals Inc.,ALXN,186.02,$37.6B,37600000000,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
88,Alexza Pharmaceuticals Inc.,ALXA,2.18,$42.3M,42300000,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
89,Alico Inc.,ALCO,48.01,$353.87M,353870000,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
90,Align Technology Inc.,ALGN,56.81,$4.56B,4560000000,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
91,Alimera Sciences Inc.,ALIM,5.32,$235.66M,235660000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
92,Alkermes plc,ALKS,73.24,$10.71B,10710000000,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
93,Allegiant Travel Company,ALGT,184.79,$3.23B,3230000000,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
94,Alliance Bancorp Inc. of Pennsylvania,ALLB,16.93,$68.18M,68180000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
95,Alliance Fiber Optic Products Inc.,AFOP,16.98,$316.72M,316720000,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
96,Alliance HealthCare Services Inc.,AIQ,25.08,$269.22M,269220000,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
97,Alliance Holdings GP L.P.,AHGP,52.57,$3.15B,3150000000,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
98,Alliance Resource Partners L.P.,ARLP,40.41,$2.99B,2990000000,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
99,Allied Healthcare Products Inc.,AHPI,1.71,$13.73M,13730000,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
100,Allied Motion Technologies Inc.,AMOT,26.89,$248.06M,248060000,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
101,Alliqua BioMedical Inc.,ALQA,6,$97.04M,97040000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
102,Allot Communications Ltd.,ALLT,9.3,$309.2M,309200000,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
103,Allscripts Healthcare Solutions Inc.,MDRX,12.83,$2.31B,2310000000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
104,Almost Family Inc,AFAM,29.46,$279.16M,279160000,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
105,Alnylam Pharmaceuticals Inc.,ALNY,102.39,$8.58B,8580000000,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
106,Alpha and Omega Semiconductor Limited,AOSL,8.79,$234.31M,234310000,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
107,Alphatec Holdings Inc.,ATEC,1.35,$134.45M,134450000,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
108,Altera Corporation,ALTR,36.14,$10.87B,10870000000,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
109,AltheaDx Inc.,IDGX,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/idgx
110,Altisource Portfolio Solutions S.A.,ASPS,23.2,$470.31M,470310000,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
111,Altra Industrial Motion Corp.,AIMC,26.26,$699.44M,699440000,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
112,AMAG Pharmaceuticals Inc.,AMAG,43.04,$1.1B,1100000000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
113,Amarin Corporation PLC,AMRN,1.33,$232.23M,232230000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
114,A-Mark Precious Metals Inc.,AMRK,10.1399,$70.6M,70600000,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
115,Amazon.com Inc.,AMZN,383.66,$178.17B,1.7817E+11,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
116,Ambac Financial Group Inc.,AMBC,25.42,$1.14B,1140000000,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
117,Ambarella Inc.,AMBA,51.75,$1.57B,1570000000,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
118,Ambassadors Group Inc.,EPAX,2.41,$41.08M,41080000,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax
119,AMC Networks Inc.,AMCX,69.34,$5B,5000000000,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
120,Amdocs Limited,DOX,51.57,$8.01B,8010000000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
121,Amedica Corporation,AMDA,0.8,$11.04M,11040000,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
122,Amedisys Inc,AMED,28.69,$957.68M,957680000,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
123,Amerco,UHAL,321.8,$6.31B,6310000000,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
124,Ameriana Bancorp,ASBI,15.831,$47.6M,47600000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi
125,America First Multifamily Investors L.P.,ATAX,5.79,$348.86M,348860000,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
126,America Movil S.A.B. de C.V.,AMOV,21.58,$74.86B,74860000000,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
127,American Airlines Group Inc.,AAL,51.02,$36.59B,36590000000,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
128,American Capital Agency Corp.,AGNC,21.94,$7.74B,7740000000,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
129,American Capital Mortgage Investment Corp.,MTGE,18.27,$934.37M,934370000,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
130,American Capital Senior Floating Ltd.,ACSF,12.9,$129M,129000000,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
131,American Capital Ltd.,ACAS,14.75,$3.98B,3980000000,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
132,American Caresource Holdings Inc,ANCI,2.89,$19.4M,19400000,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci
133,American Electric Technologies Inc.,AETI,4.14,$33.89M,33890000,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
134,American Independence Corp.,AMIC,10.61,$85.72M,85720000,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic
135,American National Bankshares Inc.,AMNB,22.1,$173.41M,173410000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
136,American National Insurance Company,ANAT,105.61,$2.84B,2840000000,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
137,American Public Education Inc.,APEI,34.08,$588.38M,588380000,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
138,American Railcar Industries Inc.,ARII,56.08,$1.2B,1200000000,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
139,American Realty Capital Properties Inc.,ARCP,9.44,$8.57B,8570000000,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp
140,American River Bankshares,AMRB,9.72,$78.63M,78630000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
141,American Science and Engineering Inc.,ASEI,51.52,$380.58M,380580000,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei
142,American Software Inc.,AMSWA,9.12,$257.55M,257550000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
143,American Superconductor Corporation,AMSC,0.77,$73.71M,73710000,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
144,American Woodmark Corporation,AMWD,44.12,$698.38M,698380000,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
145,America&#39;s Car-Mart Inc.,CRMT,53.63,$462.44M,462440000,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
146,Ameris Bancorp,ABCB,26,$732.18M,732180000,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
147,AMERISAFE Inc.,AMSF,42.94,$808.25M,808250000,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
148,AmeriServ Financial Inc.,ASRV,2.95,$55.44M,55440000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
149,Ames National Corporation,ATLO,24.74,$230.35M,230350000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
150,Amgen Inc.,AMGN,157.66,$119.93B,1.1993E+11,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
151,Amicus Therapeutics Inc.,FOLD,8.7,$828.67M,828670000,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
152,Amkor Technology Inc.,AMKR,9.16,$2.17B,2170000000,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
153,Amphastar Pharmaceuticals Inc.,AMPH,12.85,$573.74M,573740000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
154,Amsurg Corp.,AMSG,55.96,$2.69B,2690000000,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg
155,Amtech Systems Inc.,ASYS,10.49,$136.96M,136960000,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
156,AmTrust Financial Services Inc.,AFSI,55.76,$4.4B,4400000000,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
157,Amyris Inc.,AMRS,2,$158.15M,158150000,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
158,Anacor Pharmaceuticals Inc.,ANAC,43.49,$1.87B,1870000000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac
159,ANADIGICS Inc.,ANAD,1.24,$107.36M,107360000,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad
160,Analog Devices Inc.,ADI,59.13,$18.43B,18430000000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
161,Analogic Corporation,ALOG,84.98,$1.05B,1050000000,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
162,Anchor Bancorp,ANCB,21.6101,$55.11M,55110000,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
163,Anchor BanCorp Wisconsin Inc.,ABCW,34.63,$320.16M,320160000,2014,Finance,Banks,http://www.nasdaq.com/symbol/abcw
164,Andatee China Marine Fuel Services Corporation,AMCF,1.51,$15.49M,15490000,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf
165,Angie&#39;s List Inc.,ANGI,6.73,$393.82M,393820000,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
166,AngioDynamics Inc.,ANGO,19.03,$681.68M,681680000,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
167,ANI Pharmaceuticals Inc.,ANIP,68.66,$777.88M,777880000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
168,Anika Therapeutics Inc.,ANIK,44.05,$638.9M,638900000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
169,ANSYS Inc.,ANSS,87.25,$8.02B,8020000000,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
170,Antares Pharma Inc.,ATRS,2.59,$341.06M,341060000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
171,Anthera Pharmaceuticals Inc.,ANTH,4.58,$105.06M,105060000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
172,Aoxin Tianli Group Inc.,ABAC,1.61,$44.7M,44700000,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
173,API Technologies Corp.,ATNY,1.8548,$102.75M,102750000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
174,Apogee Enterprises Inc.,APOG,45.21,$1.31B,1310000000,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
175,Apollo Education Group Inc.,APOL,26.755,$2.9B,2900000000,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol
176,Apollo Investment Corporation,AINV,7.81,$1.85B,1850000000,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
177,Apple Inc.,AAPL,129.495,$754.28B,7.5428E+11,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
178,Appliance Recycling Centers of America Inc.,ARCI,2.82,$16.32M,16320000,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
179,Applied DNA Sciences Inc,APDN,3.73,$64.76M,64760000,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
180,Applied Genetic Technologies Corporation,AGTC,22.73,$373.72M,373720000,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
181,Applied Materials Inc.,AMAT,25.13,$30.7B,30700000000,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
182,Applied Micro Circuits Corporation,AMCC,4.84,$383.04M,383040000,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
183,Applied Optoelectronics Inc.,AAOI,10.22,$151.42M,151420000,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
184,Approach Resources Inc.,AREX,7.2,$284.8M,284800000,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
185,Apricus Biosciences Inc,APRI,1.94,$86M,86000000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
186,Aptose Biosciences Inc.,APTO,4.6241,$54.1M,54100000,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apto
187,Aquinox Pharmaceuticals Inc.,AQXP,10.45,$111.76M,111760000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aqxp
188,AR Capital Acquisition Corp.,AUMA,9.78,$293.4M,293400000,2014,Finance,Business Services,http://www.nasdaq.com/symbol/auma
189,Aradigm Corporation,ARDM,7.261,$106.93M,106930000,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ardm
190,Aratana Therapeutics Inc.,PETX,16.98,$589.3M,589300000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/petx
191,ArborGen Inc.,ARBR,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arbr
